#    L    TT             EE             BB             TE             PP             TP             EP          
   178   0.519700E+04   0.835713E+00   0.000000E+00  -0.373553E+02   0.642937E-07   0.173494E-03  -0.694401E-06
   179   0.522082E+04   0.824646E+00   0.000000E+00  -0.366438E+02   0.639522E-07   0.172075E-03  -0.680032E-06
   180   0.524420E+04   0.813697E+00   0.000000E+00  -0.359050E+02   0.636136E-07   0.170671E-03  -0.665824E-06
   181   0.526711E+04   0.802896E+00   0.000000E+00  -0.351388E+02   0.632778E-07   0.169283E-03  -0.651765E-06
   182   0.528955E+04   0.792274E+00   0.000000E+00  -0.343454E+02   0.629448E-07   0.167909E-03  -0.637844E-06
   183   0.531153E+04   0.781852E+00   0.000000E+00  -0.335249E+02   0.626146E-07   0.166550E-03  -0.624049E-06
   184   0.533302E+04   0.771667E+00   0.000000E+00  -0.326776E+02   0.622871E-07   0.165206E-03  -0.610369E-06
   185   0.535403E+04   0.761757E+00   0.000000E+00  -0.318034E+02   0.619623E-07   0.163875E-03  -0.596791E-06
   186   0.537453E+04   0.752143E+00   0.000000E+00  -0.309026E+02   0.616401E-07   0.162558E-03  -0.583306E-06
   187   0.539454E+04   0.742857E+00   0.000000E+00  -0.299754E+02   0.613206E-07   0.161254E-03  -0.569900E-06
   188   0.541404E+04   0.733939E+00   0.000000E+00  -0.290220E+02   0.610038E-07   0.159963E-03  -0.556563E-06
   189   0.543302E+04   0.725419E+00   0.000000E+00  -0.280426E+02   0.606895E-07   0.158684E-03  -0.543283E-06
   190   0.545148E+04   0.717333E+00   0.000000E+00  -0.270375E+02   0.603778E-07   0.157418E-03  -0.530049E-06
   191   0.546941E+04   0.709711E+00   0.000000E+00  -0.260070E+02   0.600686E-07   0.156164E-03  -0.516849E-06
   192   0.548680E+04   0.702589E+00   0.000000E+00  -0.249511E+02   0.597619E-07   0.154921E-03  -0.503671E-06
   193   0.550364E+04   0.696001E+00   0.000000E+00  -0.238702E+02   0.594577E-07   0.153689E-03  -0.490505E-06
   194   0.551994E+04   0.689981E+00   0.000000E+00  -0.227648E+02   0.591560E-07   0.152468E-03  -0.477338E-06
   195   0.553568E+04   0.684566E+00   0.000000E+00  -0.216349E+02   0.588567E-07   0.151257E-03  -0.464159E-06
   196   0.555086E+04   0.679791E+00   0.000000E+00  -0.204812E+02   0.585597E-07   0.150057E-03  -0.450957E-06
   197   0.556550E+04   0.675694E+00   0.000000E+00  -0.193038E+02   0.582652E-07   0.148866E-03  -0.437720E-06
   198   0.557957E+04   0.672310E+00   0.000000E+00  -0.181032E+02   0.579730E-07   0.147685E-03  -0.424436E-06
   199   0.559307E+04   0.669675E+00   0.000000E+00  -0.168796E+02   0.576831E-07   0.146513E-03  -0.411095E-06
   200   0.560600E+04   0.667825E+00   0.000000E+00  -0.156337E+02   0.573955E-07   0.145350E-03  -0.397685E-06
   201   0.561836E+04   0.666796E+00   0.000000E+00  -0.143655E+02   0.571102E-07   0.144196E-03  -0.384196E-06
   202   0.563014E+04   0.666626E+00   0.000000E+00  -0.130757E+02   0.568271E-07   0.143049E-03  -0.370629E-06
   203   0.564131E+04   0.667352E+00   0.000000E+00  -0.117646E+02   0.565462E-07   0.141911E-03  -0.356988E-06
   204   0.565188E+04   0.669008E+00   0.000000E+00  -0.104326E+02   0.562675E-07   0.140782E-03  -0.343276E-06
   205   0.566182E+04   0.671634E+00   0.000000E+00  -0.908023E+01   0.559910E-07   0.139660E-03  -0.329495E-06
   206   0.567114E+04   0.675264E+00   0.000000E+00  -0.770779E+01   0.557167E-07   0.138547E-03  -0.315649E-06
   207   0.567982E+04   0.679936E+00   0.000000E+00  -0.631569E+01   0.554445E-07   0.137442E-03  -0.301741E-06
   208   0.568786E+04   0.685687E+00   0.000000E+00  -0.490453E+01   0.551745E-07   0.136345E-03  -0.287774E-06
   209   0.569528E+04   0.692552E+00   0.000000E+00  -0.347485E+01   0.549065E-07   0.135256E-03  -0.273751E-06
   210   0.570208E+04   0.700569E+00   0.000000E+00  -0.202719E+01   0.546407E-07   0.134175E-03  -0.259676E-06
